names,actor,character,orig_lang,budget_x
Avatar: The Way of Water,Sam Worthington,Jake Sully,English,460.0
Avatar: The Way of Water,Zoe Saldaña,Neytiri,English,460.0
Avatar: The Way of Water,Sigourney Weaver,Kiri / Dr. Grace Augustine,English,460.0
Avatar: The Way of Water,Stephen Lang,Colonel Miles Quaritch,English,460.0
Avatar: The Way of Water,Kate Winslet,Ronal,English,460.0
Avatar: The Way of Water,Cliff Curtis,Tonowari,English,460.0
Avatar: The Way of Water,Joel David Moore,Norm Spellman,English,460.0
Avatar: The Way of Water,CCH Pounder,Mo'at,English,460.0
Avatar: The Way of Water,Edie Falco,General Frances Ardmore,English,460.0
John Wick: Chapter 4,Keanu Reeves,John Wick,English,100.0
John Wick: Chapter 4,Donnie Yen,Caine,English,100.0
John Wick: Chapter 4,Bill Skarsgård,Marquis de Gramont,English,100.0
John Wick: Chapter 4,Ian McShane,Winston,English,100.0
John Wick: Chapter 4,Laurence Fishburne,Bowery King,English,100.0
John Wick: Chapter 4,Lance Reddick,Charon,English,100.0
John Wick: Chapter 4,Clancy Brown,The Harbinger,English,100.0
John Wick: Chapter 4,Hiroyuki Sanada,Shimazu,English,100.0
John Wick: Chapter 4,Shamier Anderson,Mr Nobody,English,100.0
Puss in Boots: The Last Wish,Antonio Banderas,Puss in Boots (voice),English,90.0
Puss in Boots: The Last Wish,Salma Hayek,Kitty Softpaws (voice),English,90.0
Puss in Boots: The Last Wish,Harvey Guillén,Perrito (voice),English,90.0
Puss in Boots: The Last Wish,Wagner Moura,Wolf (voice),English,90.0
Puss in Boots: The Last Wish,Florence Pugh,Goldilocks (voice),English,90.0
Puss in Boots: The Last Wish,Olivia Colman,Mama Bear (voice),English,90.0
Puss in Boots: The Last Wish,Ray Winstone,Papa Bear (voice),English,90.0
Puss in Boots: The Last Wish,Samson Kayo,Baby Bear (voice),English,90.0
Puss in Boots: The Last Wish,John Mulaney,Jack Horner (voice),English,90.0
The Exorcist,María Evoli,Ofelia,Spanish~ Castilian,12.0
The Exorcist,Diana Bracho,,Spanish~ Castilian,12.0
The Exorcist,Tina Romero,Julia,Spanish~ Castilian,12.0
The Exorcist,Norma Lazareno,Señora Ramirez,Spanish~ Castilian,12.0
